Normal Mult 600 0.14700550923333336
Normal Mult 1000 0.8379135332333333
Normal Mult 1400 3.4835955320000007
Normal Mult 1800 7.756168925666667
Normal Mult 2200 15.112811815133336
Normal Mult 2600 26.732514780666666
Normal Mult 3000 43.005257796100004

Inline Mult 600 0.05215098866666666
Inline Mult 1000 0.2676674604666667
Inline Mult 1400 0.9677962046666668
Inline Mult 1800 2.779349209733334
Inline Mult 2200 5.769643068666666
Inline Mult 2600 10.60734005153333
Inline Mult 3000 16.538989316833334


