functionType,MatrixSize,Real Time
Normal Mult,3000,38.209522
Normal Mult,3000,37.148217
Normal Mult,3000,36.177114
Normal Mult,3000,37.062635
Normal Mult,3000,Average,37.241963

Inline Mult,600,0.119630
Inline Mult,600,0.112424
Inline Mult,600,0.112083
Inline Mult,600,0.111549
Inline Mult,600,0.121572
Inline Mult,600,0.112161
Inline Mult,600,0.129096
Inline Mult,600,0.124872
Inline Mult,600,0.115479
Inline Mult,600,0.116827
Inline Mult,600,0.115270
Inline Mult,600,0.118812
Inline Mult,600,0.115313
Inline Mult,600,0.119032
Inline Mult,600,0.117656
Inline Mult,600,0.116396
Inline Mult,600,0.116766
Inline Mult,600,0.117787
Inline Mult,600,0.116641
Inline Mult,600,0.113825
Inline Mult,600,0.114420
Inline Mult,600,0.115663
Inline Mult,600,0.113272
Inline Mult,600,0.111987
Inline Mult,600,0.118576
Inline Mult,600,0.113983
Inline Mult,600,0.114381
Inline Mult,600,0.113529
Inline Mult,600,0.114121
Inline Mult,600,0.113409
Inline Mult,600,Average,0.116218

Inline Mult,1000,0.522464
Inline Mult,1000,0.519675
Inline Mult,1000,0.518703
Inline Mult,1000,0.519241
Inline Mult,1000,0.534449
Inline Mult,1000,0.537793
Inline Mult,1000,0.518258
Inline Mult,1000,0.516517
Inline Mult,1000,0.533961
Inline Mult,1000,0.564874
Inline Mult,1000,0.533973
Inline Mult,1000,0.538988
Inline Mult,1000,0.541941
Inline Mult,1000,0.545759
Inline Mult,1000,0.547106
Inline Mult,1000,0.542669
Inline Mult,1000,0.531832
Inline Mult,1000,0.546036
Inline Mult,1000,0.538026
Inline Mult,1000,0.534671
Inline Mult,1000,0.540492
Inline Mult,1000,0.537499
Inline Mult,1000,0.564229
Inline Mult,1000,0.537308
Inline Mult,1000,0.522344
Inline Mult,1000,0.528641
Inline Mult,1000,0.530634
Inline Mult,1000,0.519633
Inline Mult,1000,0.535810
Inline Mult,1000,0.564822
Inline Mult,1000,Average,0.535612

Inline Mult,1400,1.535758
Inline Mult,1400,1.521965
Inline Mult,1400,1.581452
Inline Mult,1400,1.624909
Inline Mult,1400,1.609485
Inline Mult,1400,1.539354
Inline Mult,1400,1.556019
Inline Mult,1400,1.474399
Inline Mult,1400,1.633133
Inline Mult,1400,1.654044
Inline Mult,1400,1.554593
Inline Mult,1400,1.570851
Inline Mult,1400,1.581963
Inline Mult,1400,1.487152
Inline Mult,1400,1.500963
Inline Mult,1400,1.472990
Inline Mult,1400,1.467787
Inline Mult,1400,1.478442
Inline Mult,1400,1.466227
Inline Mult,1400,1.465617
Inline Mult,1400,1.479808
Inline Mult,1400,1.469153
Inline Mult,1400,1.525563
Inline Mult,1400,1.495798
Inline Mult,1400,1.598575
Inline Mult,1400,1.528707
Inline Mult,1400,1.554865
Inline Mult,1400,1.479808
Inline Mult,1400,1.426123
Inline Mult,1400,1.431739
Inline Mult,1400,Average,1.525575

Inline Mult,1800,3.290381
Inline Mult,1800,3.280639
Inline Mult,1800,3.272909
Inline Mult,1800,3.271868
Inline Mult,1800,3.275238
Inline Mult,1800,3.263684
Inline Mult,1800,3.252228
Inline Mult,1800,3.244208
Inline Mult,1800,3.234302
Inline Mult,1800,3.258505
Inline Mult,1800,3.237499
Inline Mult,1800,3.235313
Inline Mult,1800,3.242267
Inline Mult,1800,3.233005
Inline Mult,1800,3.227898
Inline Mult,1800,3.222232
Inline Mult,1800,3.216165
Inline Mult,1800,3.230587
Inline Mult,1800,3.216072
Inline Mult,1800,3.216791
Inline Mult,1800,3.223343
Inline Mult,1800,3.223619
Inline Mult,1800,3.210227
Inline Mult,1800,3.217947
Inline Mult,1800,3.218099
Inline Mult,1800,3.210391
Inline Mult,1800,3.209342
Inline Mult,1800,3.220220
Inline Mult,1800,3.214800
Inline Mult,1800,3.230622
Inline Mult,1800,Average,3.236680

Inline Mult,2200,6.340699
Inline Mult,2200,6.349031
Inline Mult,2200,6.344378
Inline Mult,2200,6.331835
Inline Mult,2200,6.333824
Inline Mult,2200,6.322565
Inline Mult,2200,6.330076
Inline Mult,2200,6.344073
Inline Mult,2200,6.629637
Inline Mult,2200,7.154244
Inline Mult,2200,6.885467
Inline Mult,2200,7.161204
Inline Mult,2200,7.077498
Inline Mult,2200,6.612595
Inline Mult,2200,6.669806
Inline Mult,2200,6.717752
Inline Mult,2200,6.859618
Inline Mult,2200,6.952730
Inline Mult,2200,6.832919
Inline Mult,2200,6.944135
Inline Mult,2200,7.088940
Inline Mult,2200,6.693778
Inline Mult,2200,7.093837
Inline Mult,2200,6.808463
Inline Mult,2200,7.160820
Inline Mult,2200,6.794557
Inline Mult,2200,7.046535
Inline Mult,2200,6.981647
Inline Mult,2200,7.007725
Inline Mult,2200,6.575437
Inline Mult,2200,Average,6.748194

Inline Mult,2600,12.608334
Inline Mult,2600,12.046063
Inline Mult,2600,11.084074
Inline Mult,2600,10.858611
Inline Mult,2600,11.066457
Inline Mult,2600,10.857474
Inline Mult,2600,10.843370
Inline Mult,2600,10.840551
Inline Mult,2600,10.836346
Inline Mult,2600,10.819827
Inline Mult,2600,10.845375
Inline Mult,2600,10.823640
Inline Mult,2600,10.829415
Inline Mult,2600,10.850091
Inline Mult,2600,10.826503
Inline Mult,2600,10.821702
Inline Mult,2600,10.824901
Inline Mult,2600,10.822290
Inline Mult,2600,10.822323
Inline Mult,2600,10.823817
Inline Mult,2600,10.845972
Inline Mult,2600,10.841833
Inline Mult,2600,10.845147
Inline Mult,2600,10.826492
Inline Mult,2600,10.827455
Inline Mult,2600,10.820582
Inline Mult,2600,10.832848
Inline Mult,2600,10.817233
Inline Mult,2600,10.828832
Inline Mult,2600,10.814283
Inline Mult,2600,Average,10.948395

Inline Mult,3000,16.917273
Inline Mult,3000,16.919713
Inline Mult,3000,16.907462
Inline Mult,3000,16.876866
Inline Mult,3000,16.906258
Inline Mult,3000,16.908907
Inline Mult,3000,16.914787
Inline Mult,3000,16.916988
Inline Mult,3000,16.912806
Inline Mult,3000,16.891833
Inline Mult,3000,16.873160
Inline Mult,3000,16.906781
Inline Mult,3000,16.901183
Inline Mult,3000,16.887159
Inline Mult,3000,16.908674
Inline Mult,3000,16.905525
Inline Mult,3000,16.875027
Inline Mult,3000,16.872547
Inline Mult,3000,16.866844
Inline Mult,3000,16.969123
Inline Mult,3000,16.909298
Inline Mult,3000,16.881930
Inline Mult,3000,16.859990
Inline Mult,3000,16.853673
Inline Mult,3000,16.883816
Inline Mult,3000,16.887305
Inline Mult,3000,16.844787
Inline Mult,3000,16.857835
Inline Mult,3000,16.864270
Inline Mult,3000,16.888285
Inline Mult,3000,Average,16.892337

