functionType,MatrixSize,Real Time
Inline Mult,1800,1.926011924
Inline Mult,1800,1.920180988
Inline Mult,1800,1.91840815
Inline Mult,1800,2.125228622
Inline Mult,1800,2.600153328
Inline Mult,2200,5.902892999
Inline Mult,2200,5.104298833
Inline Mult,2200,4.632241395
Inline Mult,2200,4.469600653
Inline Mult,2200,4.486456976
Inline Mult,2200,4.717332687
Inline Mult,2200,4.874917094
Inline Mult,2200,4.733654714
Inline Mult,2200,4.629187826
Inline Mult,2200,7.200088083
Inline Mult,2200,7.370703987
Inline Mult,2200,7.183095707
Inline Mult,2200,6.888025308
Inline Mult,2200,5.20567544
Inline Mult,2200,5.368782684
Inline Mult,2200,4.958583985
Inline Mult,2200,4.977665545
Inline Mult,2200,5.01857815
Inline Mult,2200,5.045248708
Inline Mult,2200,4.512941022
Inline Mult,2200,4.54099992
Inline Mult,2200,4.476492866
Inline Mult,2200,4.523528403
Inline Mult,2200,4.595716567
Inline Mult,2200,5.157137505
Inline Mult,2200,4.861685938
Inline Mult,2200,4.749171357
Inline Mult,2200,4.851291171
Inline Mult,2200,5.03990073
Inline Mult,2200,7.350659722
Inline Mult,2200,7.171337868
Inline Mult,2600,8.9881404
Inline Mult,2600,9.018061523
Inline Mult,2600,8.078737011
Inline Mult,2600,8.36502857
Inline Mult,2600,8.962166242
Inline Mult,2600,8.831924144
Inline Mult,2600,8.905838906
Inline Mult,2600,8.533248542
Inline Mult,2600,8.023312286
Inline Mult,2600,9.1886107
Inline Mult,2600,8.034916573
Inline Mult,2600,8.308588031
Inline Mult,2600,7.74692842
Inline Mult,2600,9.168899518
Inline Mult,2600,8.885498586
Inline Mult,2600,8.158879598
Inline Mult,2600,8.173502149
Inline Mult,2600,8.489848026
Inline Mult,2600,7.858635782
Inline Mult,2600,7.881274058
Inline Mult,2600,7.854293031
Inline Mult,2600,8.884793146
Inline Mult,2600,7.931415601
Inline Mult,2600,12.094430818
Inline Mult,2600,8.47751256
Inline Mult,2600,9.210206877
Inline Mult,2600,8.852970059
Inline Mult,2600,9.726222232
Inline Mult,2600,8.528612378
Inline Mult,2600,7.687523236
Inline Mult,2600,8.354471556
Inline Mult,3000,12.852599487
Inline Mult,3000,12.814760593
Inline Mult,3000,13.384864849
Inline Mult,3000,19.147702656
Inline Mult,3000,18.929322167
Inline Mult,3000,19.235300392
Inline Mult,3000,18.417400115
Inline Mult,3000,17.36986852
Inline Mult,3000,17.428299985
Inline Mult,3000,17.795889529
Inline Mult,3000,17.84568244
Inline Mult,3000,16.834906628
Inline Mult,3000,17.834726749
Inline Mult,3000,18.827277933
Inline Mult,3000,18.670826965
Inline Mult,3000,19.175551295
Inline Mult,3000,19.210302042
Inline Mult,3000,18.430021307
Inline Mult,3000,17.883668812
Inline Mult,3000,18.643488762
Inline Mult,3000,17.07933451
Inline Mult,3000,19.913422927
Inline Mult,3000,19.408673546
Inline Mult,3000,18.79271171
Inline Mult,3000,18.718078215
Inline Mult,3000,18.062760874
Inline Mult,3000,17.606195059
Inline Mult,3000,19.116550611
Inline Mult,3000,18.509532229
Inline Mult,3000,18.542246395
Inline Mult,3000,18.671530324
